
,?URL,ID,Lng,Lat,CommunityID,TradeTime,DOM,Followers,Total price,Price,Square,Bed Room,Living room,Kitchen,Bathroom,楼,Building Type,Construction time,renovation condition,building structure,Ladder ratio(梯户比),Elevator,Property rights for five years（房屋满五年）,Subway,District,Community average,Unnamed: 26,Unnamed: 27,Unnamed: 28
0,https://bj.lianjia.com/chengjiao/101084782030.html,101084782030.0,116.475489,40.01952,1111027376244,2016/8/9,1464.0,106,415.0,31680,131.0,2,1,1,1,高 26,塔楼,2005,简装,钢混,0.217,1.0,0.0,1.0,朝阳,56021.0,,,
1,https://bj.lianjia.com/chengjiao/101086012217.html,101086012217.0,116.45391699999999,39.881534,1111027381879,2016/7/28,903.0,126,575.0,43436,132.38,2,2,1,2,高 22,塔楼,2004,精装,钢混,0.667,1.0,1.0,0.0,朝阳,71539.0,,,
2,https://bj.lianjia.com/chengjiao/101086041636.html,101086041636.0,116.561978,39.877145,1111040862969,2016/12/11,1271.0,48,1030.0,52021,198.0,3,2,1,3,中 4,板楼,2005,简装,钢混,0.5,1.0,0.0,0.0,朝阳,48160.0,,,
3,https://bj.lianjia.com/chengjiao/101086406841.html,101086406841.0,116.43801,40.076114000000004,1111043185817,2016/9/30,965.0,138,297.5,22202,134.0,3,1,1,1,底 21,塔楼,2008,其他,钢混,0.273,1.0,0.0,0.0,昌平,51238.0,,,
4,https://bj.lianjia.com/chengjiao/101086920653.html,101086920653.0,116.42839199999999,39.886229,1111027381174,2016/8/28,927.0,286,392.0,48396,81.0,2,1,1,1,中 6,板楼,1960,毛坯,混合,0.33299999999999996,0.0,1.0,1.0,东城,62588.0,,,
5,https://bj.lianjia.com/chengjiao/101087277815.html,101087277815.0,116.46628,39.991363,1111027377512,2016/7/22,861.0,57,275.6,52000,53.0,1,0,1,1,中 8,板楼,2005,简装,钢混,0.33299999999999996,1.0,1.0,0.0,朝阳,67738.0,,,
6,https://bj.lianjia.com/chengjiao/101087292623.html,101087292623.0,116.48258600000001,39.891991,1111027380683,2016/7/14,851.0,167,275.0,37672,73.0,2,1,1,1,高 6,板楼,1997,精装,混合,0.5,0.0,0.0,0.0,朝阳,50112.0,,,
7,https://bj.lianjia.com/chengjiao/101087303800.html,101087000000.0,116.45391699999999,39.881534,1111027381879,2016/9/7,904.0,138,800.0,49521,161.55,3,2,1,2,高 22,塔楼,2004,精装,钢混,0.667,1.0,1.0,0.0,朝阳,71539.0,,,
8,https://bj.lianjia.com/chengjiao/101087463212.html,101087463212.0,116.555729,40.162058,1111027379605,2016/9/4,873.0,218,134.0,27917,48.0,1,0,1,1,高 10,板塔结合,2009,其他,混合,0.33299999999999996,0.0,0.0,0.0,顺义,44235.0,,,
9,https://bj.lianjia.com/chengjiao/101087508625.html,101088000000.0,116.45308600000001,39.898396999999996,1111027374519,2016/9/5,865.0,134,380.0,55883,68.0,1,0,0,0,中 23,塔楼,2009,精装,钢混,0.308,1.0,1.0,1.0,东城,78590.0,,,
10,https://bj.lianjia.com/chengjiao/101087641313.html,101088000000.0,116.52948899999998,39.890906,1111027382455,2016/8/24,827.0,95,840.0,31579,266.0,4,2,1,3,中 4,,2006,简装,钢混,0.2,0.0,0.0,0.0,朝阳,57260.0,,,
11,https://bj.lianjia.com/chengjiao/101087793667.html,101088000000.0,116.555729,40.162058,1111027379605,2016/8/3,773.0,74,126.0,26250,48.0,1,1,1,1,底 11,板塔结合,2009,简装,混合,0.33299999999999996,0.0,1.0,0.0,顺义,44235.0,,,
12,https://bj.lianjia.com/chengjiao/101087805216.html,101088000000.0,116.47617,39.844869,1111027374856,2016/8/25,793.0,50,948.0,39832,238.0,4,2,1,4,底 3,,2004,精装,钢混,0.091,0.0,1.0,0.0,朝阳,46867.0,,,
13,https://bj.lianjia.com/chengjiao/101087812155.html,101088000000.0,116.399018,39.978141,1111027382251,2016/8/17,784.0,65,896.0,91710,97.7,3,1,1,1,高 6,板楼,1991,简装,混合,0.33299999999999996,0.0,1.0,1.0,西城,123002.0,,,
14,https://bj.lianjia.com/chengjiao/101087919464.html,101088000000.0,116.29628600000001,39.870107,1111027382679,2016/6/17,706.0,90,285.0,35568,80.13,1,1,1,1,高 24,塔楼,2001,精装,钢混,0.222,1.0,0.0,1.0,丰台,53588.0,,,
15,https://bj.lianjia.com/chengjiao/101087921597.html,101088000000.0,116.32921999999999,39.892447,1111027379961,2016/9/20,800.0,76,360.0,60607,59.4,2,1,1,1,高 26,塔楼,1990,简装,钢混,0.25,1.0,0.0,1.0,丰台,59395.0,,,
16,https://bj.lianjia.com/chengjiao/101087926378.html,101088000000.0,116.405549,39.975629,1111027379201,2016/7/22,739.0,39,700.0,39115,178.96,4,1,1,1,低 23,塔楼,1997,简装,钢混,0.33299999999999996,1.0,1.0,1.0,朝阳,53730.0,,,
17,https://bj.lianjia.com/chengjiao/101087957433.html,101088000000.0,116.284755,39.93453,1111027376911,2016/9/17,790.0,6,212.0,32981,64.28,1,0,1,1,中 19,塔楼,2009,简装,钢混,0.111,1.0,0.0,1.0,海淀,70141.0,,,
18,https://bj.lianjia.com/chengjiao/101088008763.html,101088000000.0,116.603852,39.893276,1111027375170,2016/6/20,691.0,130,336.0,30189,111.3,2,1,1,1,中 6,板楼,2008,精装,钢混,0.16699999999999998,1.0,1.0,0.0,朝阳,48859.0,,,
19,https://bj.lianjia.com/chengjiao/101088050742.html,101088000000.0,116.284755,39.93453,1111027376911,2016/8/23,747.0,41,174.6,33577,52.0,1,0,1,1,中 19,塔楼,2009,简装,钢混,0.111,1.0,0.0,1.0,海淀,70141.0,,,
20,https://bj.lianjia.com/chengjiao/101088145348.html,101088000000.0,116.507351,39.934957,1111043267862,2016/7/15,690.0,20,1950.0,63228,308.41,5,2,1,4,高 18,板楼,2011,精装,钢混,1.0,1.0,0.0,1.0,朝阳,101192.0,,,
21,https://bj.lianjia.com/chengjiao/101088175163.html,101088000000.0,116.448302,39.960966,1111027374893,2016/7/28,697.0,276,176.0,29000,60.69,1,1,1,1,低 25,塔楼,2008,精装,钢混,0.364,1.0,1.0,0.0,朝阳,34966.0,,,
22,https://bj.lianjia.com/chengjiao/101088238072.html,101088000000.0,116.432142,39.902353999999995,1111027380930,2016/7/26,681.0,115,520.0,87176,59.65,1,1,1,1,中 12,板塔结合,2005,精装,钢混,0.5,1.0,1.0,1.0,东城,95392.0,,,
23,https://bj.lianjia.com/chengjiao/101088346049.html,101088000000.0,116.45371200000001,39.940847,1111027380731,2016/12/4,789.0,84,1580.0,74999,210.67,4,2,1,3,高 6,板楼,2000,精装,钢混,0.5,1.0,1.0,0.0,朝阳,82311.0,,,
24,https://bj.lianjia.com/chengjiao/101088350722.html,101088000000.0,116.486595,39.917578000000006,1111027375161,2016/7/25,656.0,17,1150.0,52668,218.35,4,2,1,2,中 14,板楼,2005,精装,钢混,0.33299999999999996,1.0,1.0,1.0,朝阳,84981.0,,,
